Study Accession,Sample Accession or Sample ID,GMWI,Inverse Simpson,Richness,Shannon,Evenness
PRJEB11532,SAMEA3665046,3.559825337033949,13.629034337082855,64.0,2.96496173648334,0.5159862326769945
PRJEB11532,SAMEA3665047,2.509734952700358,10.73113074625919,66.0,2.758149692869757,0.4799951553071492
PRJEB11532,SAMEA3665048,4.072134197186189,3.815268085608105,71.0,2.1876785958457785,0.3807172359389075
PRJEB11532,SAMEA3665049,3.051337739099849,19.915895824128206,83.0,3.4247173307562333,0.5959965593270822
PRJEB11532,SAMEA3665050,3.2226784842981853,12.491393966565047,80.0,3.2403731688993433,0.5639155215106034
PRJEB11532,SAMEA3665051,3.0734511153785515,6.740603490352683,70.0,2.5374854565768574,0.44159340914958656
PRJEB11532,SAMEA3665052,0.37547917369420336,10.204578970353408,102.0,3.11312517801128,0.5417708136628981
PRJEB11532,SAMEA3665053,1.0654501516613692,14.619898635837226,76.0,3.1282470423840687,0.544402440821103
PRJEB11532,SAMEA3665054,1.0576698238183313,10.953648707177605,69.0,2.8377021433837624,0.4938395057201264
PRJEB11532,SAMEA3665055,3.288000013866655,14.092053304308722,61.0,3.0094402506628515,0.5237267376164536
PRJEB11532,SAMEA3665056,3.029304389445837,22.718107342528302,83.0,3.562199183641988,0.6199222452673372
PRJEB11532,SAMEA3665057,4.10330865008758,2.4933297590727803,58.0,1.8744052651787186,0.32619891831609965
PRJEB11532,SAMEA3665058,-0.5050153571816194,3.7073647320591174,38.0,1.77273757320242,0.3085058976196384
PRJEB11532,SAMEA3665059,3.8664711074900366,9.61764999179064,62.0,2.8830224794030124,0.5017265111942558
PRJEB11532,SAMEA3665060,2.457454048771788,17.419656870464767,75.0,3.173210662818744,0.5522273678109278
PRJEB11532,SAMEA3665061,-0.16331575332741136,3.472248192251156,61.0,1.8822117042117537,0.32755745695007743
PRJEB11532,SAMEA3665062,1.898741222217173,14.4834660740706,68.0,3.1025092933263667,0.5399233529426803
PRJEB11532,SAMEA3665063,3.9370167250231742,6.989009592850606,72.0,2.752367627625418,0.4789889143072037
PRJEB11532,SAMEA3665064,4.399629819242635,21.31820325073335,72.0,3.369735904448752,0.5864282540506527
PRJEB11532,SAMEA3665065,1.4629898166896163,19.178376816774406,84.0,3.3173789935698363,0.5773166878315692
PRJEB11532,SAMEA3665066,0.915810980650189,26.627008721941646,80.0,3.5632986751126876,0.6201135875213858
PRJEB11532,SAMEA3665067,2.302425267568954,15.58641531475834,80.0,3.259346135993183,0.5672173482063726
PRJEB11532,SAMEA3665068,1.567018634331231,7.9012683326670965,66.0,2.6788672805462155,0.46619779908868786
PRJEB11532,SAMEA3665069,0.8850079938526748,15.669911181789006,85.0,3.218964434322428,0.560189803176772
PRJEB11532,SAMEA3665070,0.5079996674926784,28.55032185438555,98.0,3.690540181539546,0.6422571668915573
PRJEB11532,SAMEA3665071,1.5565562031118627,1.9053383658230973,65.0,1.513391751940219,0.26337247426817106
PRJEB11532,SAMEA3665072,2.6988384650480035,8.872083558089766,47.0,2.6520722231480027,0.46153471000017027
PRJEB11532,SAMEA3665073,3.1751044316636112,1.3512733669754236,52.0,0.8299816826870433,0.14444001633172732
PRJEB11532,SAMEA3665074,3.3585929975526962,16.78147529909169,70.0,3.19452085563507,0.5559359371235147
PRJEB11532,SAMEA3665075,3.9486978090426192,13.753437358967632,63.0,3.0404498466047585,0.5291232742361397
PRJEB11532,SAMEA3665076,3.634876245904576,3.7756041324288008,61.0,2.1486208315258137,0.3739200930212563
PRJEB11532,SAMEA3665077,2.445137543978704,6.6247890967863015,59.0,2.497219998244526,0.4345860937106512
PRJEB11532,SAMEA3665078,2.316855975928354,18.893998007720043,95.0,3.4636783181510635,0.6027768603541971
PRJEB11532,SAMEA3665079,2.5584407751508795,14.444743345105106,54.0,3.0390182112550783,0.5288741296615036
PRJEB11532,SAMEA3665080,2.9130216494204695,3.584920143977062,52.0,2.1327550245998435,0.37115899906062333
PRJEB11532,SAMEA3665081,2.2692944718531134,10.954928334377149,57.0,2.8058727081007135,0.4883002941350838
