GMHI,Richness,Evenness,Shannon,Inverse Simpson
3.514,63,0.528,3.0342,11.5578
0.4053,70,0.5512,3.1673,15.7793
1.6089,56,0.5199,2.9874,12.3194
2.1266,84,0.5749,3.3036,15.2919
-0.1716,72,0.5699,3.275,20.107
-0.5885,73,0.4282,2.4606,5.9448
0.1421,73,0.4514,2.5939,7.0209
0.1422,80,0.5533,3.1792,14.3779
-0.8234,78,0.5682,3.2647,17.8445
1.8506,62,0.4795,2.7553,7.6692
-3.9752,58,0.4021,2.3103,5.8259
-2.9722,72,0.4205,2.4164,7.4308
1.4277,66,0.5664,3.2549,16.1223
-1.8168,66,0.4517,2.5956,6.3071
2.4318,66,0.4578,2.6304,6.8244
0.2746,94,0.6007,3.4517,20.755
0.6138,73,0.522,2.9995,13.0054
3.4235,70,0.4645,2.6689,6.1233
0.3229,81,0.5947,3.4171,21.965
-1.9004,93,0.5452,3.1329,13.7912
2.4025,59,0.5016,2.8824,10.4726
1.2426,85,0.5168,2.9697,10.6697
2.8799,68,0.5603,3.2194,15.9595
0.0341,59,0.5343,3.0701,14.5349
-0.893,74,0.5515,3.1689,15.5147
0.3118,89,0.5956,3.4223,20.456
0.8316,73,0.4738,2.7228,8.0842
1.5179,88,0.5656,3.2499,15.1993
-0.3068,72,0.5806,3.3362,18.3598
0.0175,81,0.5202,2.9894,10.9967
1.8457,72,0.494,2.8389,9.4588
3.0819,63,0.5319,3.0566,14.152
0.4875,81,0.5165,2.9678,10.9079
-1.5911,133,0.506,2.9078,11.2027
-2.1879,64,0.4394,2.5246,7.1913
-0.6481,53,0.4219,2.424,5.611
1.3008,63,0.5441,3.1267,15.8972
-0.2608,61,0.4957,2.8485,11.1766
0.3434,75,0.521,2.9939,10.9689
0.058,65,0.5518,3.1707,16.3931
2.8993,58,0.5443,3.1278,11.4531
-0.4315,73,0.5225,3.0024,12.043
1.0966,74,0.5647,3.2448,18.6072
-2.5913,108,0.5194,2.9844,11.5965
0.9017,72,0.5373,3.0874,12.3352
1.2498,87,0.5791,3.3276,17.6458
2.1064,68,0.4943,2.8404,6.7016
3.8023,61,0.5956,3.4224,22.9981
1.7194,77,0.515,2.9593,12.6521
1.5157,73,0.5106,2.9343,9.5634
-0.9273,57,0.4615,2.6518,8.5232
-0.5564,82,0.5433,3.1219,12.5689
2.079,67,0.552,3.1721,15.0391
3.6752,61,0.5564,3.1969,13.9784
1.7965,66,0.3989,2.2922,4.7923
1.5716,80,0.5828,3.3487,18.0285
1.2455,56,0.4791,2.7532,8.1933
1.8856,66,0.479,2.7522,7.8502
-0.0264,78,0.5066,2.911,8.2827
0.3311,86,0.5157,2.9635,11.9351
1.6938,58,0.5061,2.9079,12.6691
-0.5959,53,0.5204,2.9905,15.1138
-0.9972,73,0.5556,3.1924,17.4504
1.3328,69,0.3902,2.2423,4.2346
-0.8442,73,0.4758,2.7343,9.7976
-3.7776,74,0.4493,2.582,7.1822
0.7183,74,0.5367,3.0837,13.2943
0.6339,74,0.5019,2.8843,9.2566
-1.729,59,0.4902,2.8167,9.0923
0.4906,54,0.5048,2.9008,11.6792
1.9469,86,0.6195,3.5598,23.086
1.2334,65,0.4232,2.432,6.5356
-3.701,70,0.472,2.7119,7.0709
0.0239,68,0.4902,2.817,10.0178
0.3951,94,0.5331,3.0631,11.918
2.4567,57,0.5183,2.978,12.5746
1.1682,92,0.5727,3.291,15.4951
0.0,42,0.4902,2.817,11.17
0.8183,60,0.5081,2.9196,13.0663
-0.1434,68,0.4781,2.7472,11.4167
-0.4126,102,0.5824,3.3468,19.8838
-4.7271,67,0.4145,2.382,6.3458
-0.6184,69,0.4674,2.6858,9.7953
0.8357,80,0.2896,1.664,2.1745
-0.322,90,0.5863,3.3693,22.0112
-2.5839,86,0.4353,2.5014,6.6565
1.1302,83,0.5816,3.3421,20.5462
2.0619,35,0.42,2.4132,7.1545
1.1634,69,0.4411,2.5346,5.4121
0.5263,75,0.4946,2.8419,12.0976
1.3662,83,0.4586,2.6353,5.5307
-3.3391,51,0.5002,2.8744,11.4221
1.2561,75,0.4131,2.3736,5.0187
0.8409,91,0.596,3.4249,21.7253
0.6912,85,0.5346,3.0718,12.5188
-0.9462,85,0.449,2.5799,7.3294
1.7234,57,0.4667,2.6816,6.9973
0.4284,83,0.4841,2.7816,8.1821
0.2078,66,0.475,2.7296,8.8676
-0.7147,88,0.5728,3.2916,17.0635
-0.2226,62,0.4859,2.7921,9.5765
-0.2535,84,0.5419,3.1136,12.0833
1.9632,77,0.5746,3.3016,19.3678
